archivo_web,fuente_original,ubicacion_master
abimael_guzman_0.webp,Ninguna,N/A
abimael_guzman_1.webp,Ninguna,N/A
afoco_bendito_desierto0.webp,Ninguna,N/A
afoco_bendito_desierto1.webp,Ninguna,N/A
campesinos_armados.webp,Ninguna,N/A
campesino_tienda.webp,Ninguna,N/A
coche_bomba.webp,Ninguna,N/A
colera_2.webp,Ninguna,N/A
condiciones_salud.webp,Ninguna,N/A
efectos_colera.webp,Ninguna,N/A
ejercito_peruano_2.webp,Ninguna,N/A
embajada_0.webp,Ninguna,N/A
embajada_1.webp,Ninguna,N/A
embajada_2.webp,Ninguna,N/A
embajada_3.webp,Ninguna,N/A
embajada_4.webp,Ninguna,N/A
fujimori_1991.webp,Ninguna,N/A
fujimori_periodistas.webp,Ninguna,N/A
indigenas_cuzco.webp,Ninguna,N/A
mercado_lima.webp,Ninguna,N/A
mujeres_campesinas_sierra_peru.webp,Ninguna,N/A
mujeres_rivera_rimac_lima_peru_1991_2.webp,Ninguna,N/A
mujer_escaleras.webp,Ninguna,N/A
peru_colera.webp,Ninguna,N/A
portada_caretas_inundaciones.webp,Ninguna,N/A
retrato_1.webp,Ninguna,N/A
sendero_luminoso_2.webp,Ninguna,N/A
lota_chile.webp,Ninguna,N/A
lota_chile_1990_anciano_recolector_de_carbon.webp,Ninguna,N/A
lota_chile_1990_pescando_carbon.webp,Ninguna,N/A
